rsi,ema_9,ema_21,macd,macd_signal,atr,volume,tf_alignment_score,tf_5m_aligned,tf_15m_aligned,tf_30m_aligned,tf_1h_aligned,tf_4h_aligned,tf_12h_aligned,price_trend,mfi_trend,reversal_confidence,has_reversal_signal,label
42.47240713084175,2482.0672688467444,2476.7574025228864,0.07886255146027321,4.307842371503158,12.786226777043272,1947.801677959376,1,0,0,0,0,0,1,23.26009718514481,34.79884162914608,93.374942300147,0,0
77.04285838459496,2501.254185262726,2481.1436135612785,-1.7346779612618028,-0.8278915847883894,12.187728164445964,1685.0100313508083,1,0,0,1,1,1,0,11.375688634419179,-87.48703155610968,68.38664518353433,0,0
63.919636508684306,2501.625404864404,2477.08041937107,-0.18564564910202686,-0.8451351392970192,5.384630987096536,1223.901690202477,3,1,1,0,1,1,0,-16.844979295335616,-57.898612066931406,53.15721526867312,1,0
55.919509051822196,2505.4971960599282,2473.548101350282,3.8304156096969217,1.2652715340467888,10.118717414392345,1155.8426975451862,3,1,1,0,1,1,0,-14.211133313971146,61.80472805833528,3.2659060784495875,0,1
29.36111842654619,2509.0436533489064,2474.825434844024,2.2142455059249793,2.42050233283266,10.702934281787856,1219.6438756950195,3,1,1,1,1,0,1,8.181000767616165,-70.61561528324584,47.55961918220083,0,0
29.35967122017216,2519.0340831785015,2488.431150721309,6.926717110769749,4.392851924654552,10.982341713453508,1729.5842374174183,1,0,0,0,0,0,0,39.28596140722145,-31.470970695495694,40.774810500273226,1,0
23.485016730091967,2500.652013932048,2478.2533487362316,6.174435617384409,3.783067636245536,13.702585538409984,1593.6447332844973,2,0,0,0,1,1,0,40.42921923636589,72.93178437162801,16.121881197512256,1,0
71.97056874649611,2492.91825891765,2484.570794441923,1.4181735169787597,2.1213189446372382,13.004038200903176,1022.2346814409615,4,1,1,1,1,1,1,-65.66121845891008,-69.01493777131147,65.6409603500657,0,0
56.06690070459253,2511.807447790748,2490.1366908341943,0.5942343343129248,0.9153866639716611,14.11857639190167,1008.9312024009013,2,1,1,0,0,1,1,0.022550415325395257,-83.45263287636202,97.11509073682858,1,0
62.48435466776273,2490.833290050483,2497.6157931451744,1.796924081672669,5.979871501103978,16.473248923131923,918.0747796560768,2,0,0,0,1,0,0,-17.60838099317961,-3.092400983997834,56.218881106452514,0,0
21.23506965774815,2497.5588568282255,2471.572485593644,3.902949425148077,1.9832691156518107,17.1947860807414,1592.3632636416057,1,0,0,1,0,0,0,74.10539325387684,-39.51609774429272,71.47532764439458,0,0
78.19459112971965,2483.1382552536907,2501.9764159563615,0.6806364082287626,2.1597091703077282,15.771846143397417,1717.247194666083,2,0,0,0,0,0,1,26.283784243675278,12.681672896770824,6.845045256601678,1,0
69.9465584480253,2481.0140297366183,2495.1160155796365,4.24148907849134,0.14536674834168428,19.33285543932402,1118.0557139900047,0,0,0,1,0,0,1,6.5008132831963605,60.76097809669503,41.76669958169947,0,0
32.74034664069657,2518.505936587117,2473.270361277955,2.0941165219124045,4.563666841249505,5.2734887401454245,825.1339532370954,3,1,1,0,1,0,1,-76.92107156421653,-72.57030236945137,11.635848516449588,1,0
